SCORING,GP,GS,MPG,PPG,PPS,HIGH
"6 Holiday, Aaron Holiday, A. PG",45,18,23.4,10.4,1.14,25
"7 McDermott, Doug McDermott, D. SF",49,0,20.9,10.4,1.29,24
"8 Holiday, Justin Holiday, J. SF",49,2,25.2,8.2,1.24,20
"9 Oladipo, Victor Oladipo, V. SG",2,0,21.5,8.0,0.73,9
"10 McConnell, T.J. McConnell, T. PG",47,3,19.4,6.8,1.14,17
"11 Mitrou-Long, Naz Mitrou-Long, N. SG",3,0,14.3,4.7,0.88,12
"12 Sumner, Edmond Sumner, E. PG",19,2,13.7,4.5,1.08,13
"13 Sampson, JaKarr Sampson, J. SF",18,10,13.8,4.2,1.29,14
"14 Bitadze, Goga Bitadze, G. C",39,2,9.1,3.2,1.18,13
"15 Leaf, T.J. Leaf, T. PF",22,1,8.2,3.0,1.02,13
"16 Johnson, Alize Johnson, A. PF",11,0,4.2,1.6,1.29,4
"17 Bowen, Brian Bowen, B. SF",3,0,3.3,0.7,0.5,2
"1 Ingram, Brandon Ingram, B. SF",45,45,34.3,24.9,1.37,49
"2 Holiday, Jrue Holiday, J. SG",41,41,35.2,19.7,1.13,36
"3 Williamson, Zion Williamson, Z. SF",6,6,26.3,19.5,1.5,24
"4 Redick, JJ Redick, J. SG",45,35,27.4,15.2,1.46,31
"5 Ball, Lonzo Ball, L. PG",42,33,31.5,11.9,1.05,27
"6 Hart, Josh Hart, J. SG",43,11,28.2,10.6,1.22,23
"7 Moore, E'Twaun Moore, E. SG",37,5,20.4,9.9,1.08,25
"8 Favors, Derrick Favors, D. PF",31,29,24.2,9.8,1.39,22
"9 Hayes, Jaxson Hayes, J. C",47,12,18.8,8.3,1.78,20
"10 Okafor, Jahlil Okafor, J. C",25,9,16.1,8.3,1.51,26
"11 Jackson, Frank Jackson, F. PG",40,1,13.2,5.8,1.12,23
"12 Melli, Nicolo Melli, N. PF",38,5,14.9,5.7,1.31,20
"13 Alexander-Walker, Nickeil Alexander-Walker, N. SG",39,0,12.7,5.4,0.94,27
"14 Williams, Kenrich Williams, K. SG",35,18,22.3,3.8,0.92,16
"15 Cheatham, Zylan Cheatham, Z. SF",3,0,10.3,1.3,0.8,2
"16 Gray, Josh Gray, J. PG",2,0,11.5,1.0,1.0,2
"1 Rose, Derrick Rose, D. PG",44,10,26.4,18.5,1.22,31
"2 Drummond, Andre Drummond, A. C",47,46,33.6,17.3,1.28,32
"3 Kennard, Luke Kennard, L. SG",28,25,32.9,15.8,1.29,30
"4 Griffin, Blake Griffin, B. PF",18,18,28.4,15.5,1.12,26
"5 Jackson, Reggie Jackson, R. PG",8,4,24.3,14.1,1.18,23
